作者,看板,標題,日期,內容
popoyuiyui (玉波),fruits,[發問] 柿子外面白白的粉,Fri Oct 20 20:35:14 2017,"最近市場開始出現一堆柿子
想請教這種硬柿子外面都會裹一層粉是原生
還是摘下來後為了保存用的

這種柿子營養會不會流失
或吃多了會不會傷身
以及這個粉是什麼東西呢?
https://i.imgur.com/GW7Znjp.jpg

"
bbdd (bbd),fruits,[發問] 請問萬華果菜市場可以買到洛神花嗎,Tue Oct 24 16:14:11 2017,"請問大家
洛神花最近開始出現了
如果要買大量的話
要到哪裡買?

萬華果菜市場會有嗎？

因為沒去過
可以請知道的人
指點購買方式嗎？
感謝大家了！

"
whitepink (亮晶晶小蕃茄),fruits,[廣宣] 自家種植次郎柿，歡迎訂購,Sat Oct 28 17:56:16 2017,"自家種植次郎甜柿 5A 6A 7A自種自銷 產地：台中東勢(自家果園種植）
照片：
https://i.imgur.com/YQh1oyC.jpg
https://i.imgur.com/xZSgp8B.jpg
售價：
5A，一箱約80粒，1400含運
6A，一箱約72粒，1600含運
7A，一箱約45粒，1500含運
外觀NG(可食率80%以上不分大小），一箱1100含運
以上離島運費另計 目前正直盛產季，歡迎詢問！


"
tlsf (happy day),fruits,[發問] 買得到台灣產的山竹嗎?,Tue Nov  7 12:09:34 2017,"喜歡吃山竹，幾年前曾經在某間超商看到過。
但是買回家發現壞掉的機率很高，不知道是不是國外運送過來比較不新鮮。

爬文看到#1HlPFk6d (fruits)
說高雄有人在種，可是沒有聯絡資訊。


不知道能不能買得到台灣產的山竹呢?
謝謝。



"
Galvus (高糖優適),fruits,[新聞] 大雨摧殘獼猴又狂吃 泰安甜柿只剩一成 ,Thu Nov  9 00:54:14 2017,"大雨摧殘獼猴又狂吃 泰安甜柿只剩一成

（中央社記者管瑞平苗栗縣8日電）苗栗縣泰安鄉進入甜柿盛季，今年因為氣候加上猴害
影響，產量僅剩往年約1/10，果農苦不堪言，鄉公所將舉辦促銷活動，希望消費者直接向
果農購買，減少中間商剝削。

泰安鄉長劉美蘭表示，鄉內種植甜柿面積廣達460公頃，今年5月到7月，卻因西南氣流帶
來一連串豪雨，打壞花苞，導致甜柿產量銳減，好不容易等到果實即將成熟，又出現一大
群台灣獼猴啃咬甜柿，讓農民苦不堪言。

長年在泰安鄉錦水村種植甜柿的果農曾德華指出，礙於保育法規定不能捕殺台灣獼猴，目
前只能架設電網、放鞭炮嚇阻猴子偷吃，不過聰明的台灣獼猴竟然會爬到竹子最頂端，利
用「彈性」越過下方電網，拔了甜柿掉頭就跑，實在防不勝防。

曾德華表示，往年種植的甜柿產量大約有12萬顆，今年因5月大雨打壞了10萬顆，又被猴
子吃掉了1萬顆，如今只剩下1萬顆左右可以販售。

劉美蘭指出，果農連續遭受2次農損，希望透過雪霸甜柿產業文化節活動幫助果農促銷、
拉抬買氣，活動為期2天，11日在泰安鄉士林壩、12日在雪霸國家公園管理處，將提供免
費試吃活動，吸引遊客前往產地，直接向果農購買在地甜柿，避免中間商的剝削，讓果
農起碼可以回收辛苦一整年的成本。1061108

http://www.cna.com.tw/news/aloc/201711080362-1.aspx

(中央社 106/11/08)

"
sulumisun (sulumisun),fruits,[廣宣] 阿源伯果園好吃的大白柚,Mon Nov 13 11:57:37 2017,"新竹縣寶山鄉的阿源伯果園目前有白柚採收
人工割草、果實不噴農藥，沒有催熟催甜
果肉鮮嫩厚實，香甜多汁
保證吃的每一口都是健康

每斤25元，最低購買量為10斤，採郵局寄送
10斤360元、20斤620元、28斤845元，以上皆含運
新竹市區、科學園區可面交或自取
意者可站內信或洽「寶山a阿源伯果園粉絲團」

https://www.facebook.com/youtz88

謝謝

"
windsora (Me food★Meet Food),fruits,[廣宣] 瑞春麻豆紅文旦 文旦界的紅寶石 清香甘甜,Mon Nov 13 18:47:38 2017,"網誌好讀版：https://meet-food.blogspot.tw/2017/11/RueiChuen.html

官方網站：https://www.facebook.com/RueiChuenPomelo/
電話：0910598019/ 0912345755

『資訊揭露：本篇為廠商邀約試吃文 無酬僅參與試吃活動
                                 以下為個人心得分享 無因應廠商修改稿件』


麻豆紅文旦是相當少見的品種
我在接到邀約前也是只知其名 未見其真面目
收到時覺得很驚喜

除了用紅色精緻的布袋包裝外 還搭配上漂亮的紅繩帶
（但我得自首 原先送來紅繩帶更整齊 這是我打開看文旦熟度之後綁回去才變這樣QQ）     這次是吃的是「瑞春麻豆紅文旦」     整體包裝跟吊牌都很有設計感 很美  在介紹之前 先來幫大家科普一下紅文旦
紅文旦在市場上很少見

果皮上的油包跟文旦一樣是大顆的
目前據我所知只有麻豆出產 所以又被稱為「麻豆紅柚」 產量稀少珍貴
跟另外一種體型偏圓、油包較細的圓紅柚是完全不一樣的
外表看起來跟一般文旦一樣呈現鐘型
但果肉是像葡萄柚一般的鮮紅色 富含維他命C

這次瑞春提供的紅文旦真的好漂亮啊 而且香氣超濃
光是隔著布袋就可以聞到濃郁的柚香

右邊是家裡僅剩的一顆大白柚
不是故意挑醜的 是只剩這顆XDDDD
觸感上紅文旦很軟 感覺飽有水分
而最大的差別是香氣 大白柚香氣較淡 紅文旦香氣濃厚

這個可不是紅心芭樂哦
而是紅文旦切下來的蒂頭 淡淡的粉紅色很特別
撥開之後果肉就像這樣
說真的光看果肉還以為是葡萄柚 超級漂亮有如紅寶石般的光澤
飽滿又鮮嫩欲滴的果肉 不知不覺就會整顆吃光光  來說說口感！

首先我要先坦承我其實是一個很少吃柚類的人
文旦還算是會吃的 葡萄柚我就完全無法 大白柚也很少吃
因為其實我還滿怕尾韻反苦的感覺
有的人很喜歡 但我就真的不太行
所以過去我個人的喜好是 文旦>大白柚>葡萄柚
但這次吃到的紅文旦真的很可以 超級好吃
入口就能感受到那股柚子的清香 然後滋味微酸帶甜
尾韻沒有苦味 一入口真的覺得很滿足
而且果肉很多汁飽滿 吃完之後香氣會停留在口腔裡久久不散

整體來說 我覺得如果是跟我一樣喜歡柚子香氣跟甘甜
但總覺得尾韻反苦不適應的朋友
很推薦可以試試看這款紅文旦
愛吃柚子的朋友應該也會很喜歡
因為他夠香 果肉又飽含水分
帶有微酸跟細緻的甜味
如同初見它的外表 淡淡的優雅！

時節到現在十一月
其實紅文旦產期已過 這次跟瑞春的合作
其實重點在於對紅文旦這個大家很少知道的品種推廣
想吃的朋友可以鎖定明年秋季產期
跟我一起期待明年的紅文旦吧～～～～～

"
Nicher116 (金門汶萊王),fruits,[新聞] 鳳梨釋迦產季到 饒慶鈴：台農發先協助外,Tue Nov 14 10:05:26 2017,"http://news.ltn.com.tw/news/life/breakingnews/2251897

    鳳梨釋迦產季到 饒慶鈴：台農發先協助外銷至新南向國家

    〔記者張存薇／台東報導〕

    台東鳳梨釋迦產期將至，台東縣議長饒慶鈴關心外銷議題，今天質詢時指出，農委會
輔導的「台農發」公司曾說要在鹿野地區種兩百公頃鳳梨釋迦，農民憂心影響外銷行情，
要求台農發先輔導鳳梨釋迦外銷至「新南向國家」，不要搶現有穩定的中國市場生意。

    「台灣國際農業開發股份有限公司」由農委會輔導成立，之前曾傳出要在鹿野地區租
200公頃農地種鳳梨釋迦，農民很憂心衝擊現有的中國外銷市場、與民爭利，她強調，釋
迦從種到收成要3年，建議先輔導幫農民行銷200公頃、約2000噸的鳳梨釋迦，但不能銷往
中國、而是新南向國家。

    農業處長許瑞貴說明，目前已與台農發達成默契，台農發會先幫助在地農民外銷鳳梨
釋迦，如果有需要契作一定品質與數量的鳳梨釋迦，會再推動種植，目前在鹿野種鳳梨釋
迦僅為書面作業階段。

    (自由 2017-11-13)

"
cymei113 (風城美女筑),fruits,[新聞] 年採收70次 台南「水果豬母」你知道是什,Wed Sep  6 13:50:48 2017,"    年採收70次 台南「水果豬母」你知道是什麼嗎？

    〔記者黃文瑜／台南報導〕

    中元普度許多人愛用當季水果做為祭品，但為了避免犯忌，會少用「香蕉、梨子」，
像是台語「招你來」的諧音，因此每年7到9月盛產的木瓜，就成了普度時重要的祭品，在
普度前後產地價格每斤約漲5到7元，相當搶手。

    大內種植木瓜的農民說，木瓜被稱為「水果豬母」，因為一年四季都能收成，平均一
年可以採收70次，算是高收益作物，為了減少人力成本，還自己開發特殊的種植方式，木
瓜通通種歪的，目前產地價受普度影響，每斤約在21到25元，而有機木瓜產地價格幾乎維
持不變。

    大內公所表示，大內有百分之70是低海拔山坡地，由於避風、排水良好、灌溉方便、
無工業污染，水果種類繁多品質好，其中木瓜的種植面積約有237公頃，主要集中在二溪
和環湖，年產量約8950噸，有許多外銷日本。

    農民說，大內地區木瓜多以網式種植，木瓜屬於淺根，斜坡無法栽植，木瓜也怕水，
只要根部泡水5小時木瓜樹就會死掉，加上結實纍纍，吹風就容易倒，因此大內地區木瓜
都以網式種植，一棵苗大約要10個月才能採收第一次。因木瓜樹長得很高，2年就可高到
4公尺，當地農民便發展出一套種植的方式，就是在樹剛長大時把樹頭劈開，以鋼管支撐
，再用線將樹拉成橫的再讓其往上長，因此大內木瓜樹都是歪歪的長。

    http://news.ltn.com.tw/news/life/breakingnews/2184806

    (自由 106-09-06)

"
FaithPrice (信仰的價值),fruits,[新聞] 有產銷履歷的檸檬 這村9成農民都申請了 ,Fri Sep  8 16:01:02 2017,"http://news.ltn.com.tw/news/life/breakingnews/2187401

    有產銷履歷的檸檬 這村9成農民都申請了

    〔記者羅欣貞／屏東報導〕

    有產銷履歷的檸檬大為風行，屏東縣竹田鄉產銷第13班班長，也是大湖社區理事長的
李正和號召種植檸檬的村民申請產銷履歷，結果全村9成以上農民響應。

    種檸檬近15年的李正和說，前幾年檸檬一遇到大豐收，價格跌得很慘，有時1顆檸檬
才1塊錢，後來配合政府產銷履歷的推廣，再加上冷凍加工廠保證價格收購，農民不再煩
惱檸檬賣不出去。

    他說，去年他接觸到通路及食品廠，願意以高價收購，但要符合衛生標準及產銷履歷
要求，他認為是食安問題，也會影響健康，所以號召村民加入產銷履歷，有品牌及安全保
證，檸檬不怕沒市場。

    全村約有7、80人種檸檬，李正和負責集貨交到冷凍加工廠，目前產銷履歷約有40幾
公頃，將近9成以上的農民都申請了。

    農糧署南區分署長姚志旺說，檸檬是屏東重要產業，有2500公頃，佔全國8成，以竹
田、九如、里港、高樹一帶最多，近來養生風潮，再加上健康訴求，國人想要安全的檸檬
，而在地的農民申請產銷履歷，在一片低潮下，殺出通路，證明安全衛生檸檬市場無限廣
大。

    (自由 2017-09-08)

"
yoyowan303 (唯愛CNBLUE),fruits,[廣宣] 斗六文旦柚－劉家果園,Fri Sep  8 19:22:18 2017,"中秋佳節限定水果-文旦柚

106年的斗六劉家果園文旦柚開始預訂了喔！
自家栽種斗六文旦柚，
目前正忙著採收，
採收工作在這星期大概告一段落，
待文旦消水後，
下周開始即可開始配送，
今年的柚子有香氣又多汁，
新鮮摘下的柚子平均甜度約11-13度，
消水後甜度更是大大提升~
絕對是中秋送禮的最佳選擇喔！
要訂購的手腳要迅速!
懇請大家多多支持唷~


今年度產品總共分為以下兩個等級，
特優級與優級，
主要是文旦柚大小作為等級的篩選，
每顆柚子都經過人工一顆顆做等級分類

特優級：700元/箱/10斤 (品質及賣相最優，送禮絕對有面子)
優級：600元/箱/10斤 (品質及賣相優，送禮自用皆可)

運費：
同一地址收費如下
第一箱 80元
第二箱以上 每箱60元

※鄉民優惠
1. 同一地址20箱以上免運費
2. 前五位填寫G單完成下訂著，第一箱免運費【記得於表單備註說明為批踢踢鄉民才有優
惠唷】

當您下訂購時請您一併留下方便連絡的方式
我們會於24小時內給您回覆
依照表單的順序依序出貨
歡迎各位踴躍選購唷!!!

訂購表單
https://goo.gl/forms/wC8NM6M5H4O9o8A23
https://i.imgur.com/QWnD6wT.jpg
果園寫真照 攝於－1709003
https://i.imgur.com/Yd9f3XP.jpg
果園寫真照 攝於－1709003
https://i.imgur.com/FK1DIfc.jpg
柚子剖開圖 

"
luckyjune (),fruits,[廣宣] 苗栗通霄33年老欉文旦,Fri Sep  8 19:59:45 2017,"中秋節三大必吃食物. 1.烤肉 2.月餅 3.柚子
今天不推烤肉也不推月餅,今天推的是柚子
酸甜可口的柚子，毫無疑問是秋冬季的當家水果。但也別小看這不起眼的柚子，本匯總
國外多項研究，為大家總結出吃柚子的六大好處。
1.保護心臟。美國《農業和食品化學期刊》發佈一項研究稱，每天吃一個柚子能讓人體
內的壞膽固醇含量降低15.5%，甘油三酯含量降低27%。
2.有助治療糖尿病。柚子有一種獨特的苦味，但正是這種苦味物質柚皮素為柚子帶來了
許多保健功效。以色列科學家發現柚皮素與目前兩種治療2型糖尿病藥物有相同功效，因
此有助於治療糖尿病。它能提高人體對胰島素的敏感性，並幫助人們保持健康體重，因此
對預防糖尿病有好處。
3.減少中風。發表在《中風學期刊》上的研究顯示，柚子中含有的黃酮類物質能降低人
們患上中風的可能性。這種抗氧化劑同時能增強血管功能、消炎，起到保護大腦的作用。
英國東安格利亞大學的研究者對69622位女性進行了長達14年的飲食習慣調查後發現：與
那些很少吃柑橘類水果的女性相比，大量吃柑橘類水果的女性患上中風的可能性會降低19
%。
4.有利減肥。美國加州營養學和新陳代謝研究中心進行的一項研究發現：在不改變其他
飲食習慣的基礎上，每餐之前吃半個柚子的人，持續12周以後，體重平均下降了1.6公斤
。柚子中含有的化合物能夠加速脂肪燃燒，是一種天然的減肥水果。
5.去除色斑。皮膚病學家發現柚子含有的維生素C能夠讓色斑顏色減退。柚子也能當作
美容品，切開後澆一勺蜂蜜，在皮膚上輕輕揉搓就好。但不要讓柚子接觸到麵部，因為柚
子的酸性可能會對皮膚產生刺激。
6.緊致肌膚。柚子中的大量維生素C能讓皮膚保持最佳狀態，因為維生素C對膠原蛋白的
分泌有至關重要的作用，能讓膚色豐滿而又平滑。每天吃半個柚子就能起到護膚效果。

已經是33年老欉文旦樹，禮盒一箱10台斤(10~12顆)，原價$550，鄉民價!!!含運$500
如有需要請站內信
謝謝

"
eryu (*+Red),fruits,[廣宣] 麻豆瑞春紅文旦,Sun Sep 10 11:05:57 2017,"
麻豆40多年老欉紅文旦
來自一雙無法修飾，爺爺的手
已經經營20年了
基本上沒有品質的問題
也沒有大小顆參差不齊的狀況

※柚子在水果類最有纖維營養份
●10斤/盒/7-8顆=1000元含運費
● 5斤/盒/約4顆=500元含運費
●採收發貨日9/15/-9/25
●粉絲專頁: https://zh-tw.facebook.com/RueiChuenPomelo/




"
zwitter (雙性離子),fruits,[新聞] 麻豆柚園內有「捷運」 省工省錢讓人驚豔,Tue Sep 12 01:02:29 2017,"http://news.ltn.com.tw/news/life/breakingnews/2190407

麻豆柚園內有「捷運」 省工省錢讓人驚豔

〔記者楊金城／台南報導〕節省人工，麻豆柚園內出現如「捷運」般的自動化搬運系統，
讓人驚豔。

63歲柚農王佑鑫有電機、自動控制、冷凍空調、工業配線的專長，在自家柚園自行設計、
打造自動化搬運軌道系統、自動澆溉、抽水設備，減少人力，管理柚園、採收文旦更輕鬆
，省工省錢。

連台灣首府大學都有意請王佑鑫來開課，校長許光華說，農村人口老化，管理果園很辛苦
，在麻豆文旦採收期的缺工更嚴重，王佑鑫為節省人力設計自動化機械取代粗重的搬運工
作，值得推廣給其它柚農，將由學校推廣教育處開設文旦果園現代化經營班，善盡大學對
地方的教育責任，協助發展麻豆文旦產業。

王佑鑫在柚園內鋪設軌道，文旦採收後由採收工搬上電動運搬車，並可加掛兩節子車，由
運搬車循著軌道自動載回文旦倉庫，運搬車也可以遙控控制，文旦倉庫另設計了水冷扇，
幫儲放待售的文旦吹冷風降溫，以利久放。

王佑鑫在3分地的柚園架設3條軌道，自動化搬運系統可節省4名人力搬運，1天可省工資1
萬元，且這些軌道可拆卸後在其它柚園組裝，加上自動灑水澆灌、自動抽水避免柚園積水
，一整套費用約25萬元（不含工資），相當划算。

https://youtu.be/TIkt8-tHQo0

(自由 2017-09-11)

"
keepaday (我懷念的.),fruits,[發問] 吃柚子後放屁><,Wed Sep 13 18:26:32 2017,"到底到底到底!!!我這幾天單疑問

感覺最近吃完柚子，肚子就怪怪

是不是吃完柚子，隔天放的屁就特別濃郁的臭?

有人也是這個嗎？

還是只是單純巧合?



"
chyaco (存),fruits,[廣宣] 台灣自然產出黃檸檬,Thu Sep 14 15:44:04 2017,"

台灣也能種出黃檸檬囉！

台灣Eureka檸檬本產的優點
不需要浸泡藥水來維持新鮮度
不需要打蠟來維持表皮的光鮮度

產地位於高雄旗山
直接宅配送到你家
不用出門也可以買到新鮮又安全的黃檸檬

訂購連結在這
https://goo.gl/forms/KIGYOqNg7YJ7djR83

檸檬富含豐富的維他命Ｃ
抗氧化與調整體質的特色
天天一杯檸檬水
健康好氣色跟著走

不知道該怎麼選黃/綠檸檬嗎？
以下建議可供參考
黃檸檬適合：直接泡水飲用、醃漬品、料理提味、烘焙料理
綠檸檬適合：榨汁食用

凡同一訂單訂購6盒禮盒款，即享有85折優惠喲
趕快揪同事、朋友、姐妹
一起訂購比較划算！


"
Twatch (code),fruits,[發問] 水果保存,Sat Sep 16 13:23:57 2017,"最近很喜歡買水果 打汁喝

酪梨  芒果  水蜜桃之類的

想說有一些產季多買一些水果保存吃

等冬天也能打汁吃

剛好家裡是做生意

有真空設備也有大型冷凍庫
（零下17度那種）

想說水果用真空在放冷凍庫

應該可以保存到冬天吧？


"
oi86954r7 (牽牽手),fruits,[廣宣] 紅柚！有吃過紅色的柚子嗎?中秋送禮最特,Sat Sep 16 13:51:18 2017,"紅柚開採囉！

自產自銷~香甜多汁

果肉呈現透紅色，果皮內層呈現粉紅色，跟

市面上文旦比起來，紅柚吃起來微酸香甜，

吃完後回買率高！

當作送禮是特別選擇！

    大箱一箱950元含運費，一箱大約32斤，

一箱約13-14顆。

    小箱一箱700元含運費，一箱大約22斤，

一箱約8-9顆。

https://i.imgur.com/IA7Cosw.jpg
https://i.imgur.com/wQsRVza.jpg
https://i.imgur.com/xJo7Bud.jpg
https://i.imgur.com/wAMOZlT.jpg

相關粉絲頁網址

             https://goo.gl/bjui3k

訂購資訊都在粉絲頁裡面呦！歡迎按讚加分享


"
crazyunknown (???????),fruits,[發問] 請問這是什麼葡萄,Sun Sep 17 15:33:20 2017,"各位神通廣大的大大們：
幫朋友代PO
朋友家在種葡萄
結果最近發現了一種突變的葡萄
請問這到底是什麼葡萄種類啊.....
Ps:對方說一整個葡萄園只有這株完全都長這樣.....
不知道是不是混了別種的葡萄

https://i.imgur.com/F67abkF.jpg

"
ErioT (ET外星人),fruits,[新聞] 拚品質放大絕！東山火龍果達人 1株只培育,Mon Sep 18 11:07:53 2017,"http://news.ltn.com.tw/news/life/breakingnews/2195740

拚品質放大絕！東山火龍果達人 1株只培育1顆果實

〔記者楊金城／台南報導〕台南市東山區不只有出名的東山咖啡、青皮椪柑，還有火龍果
！東山區長董麗華說，東山火龍果不追求產量、追求品質，才能在全台的火龍果栽種熱潮
中區隔出不同市場。公所行政課長陳俊榮、三榮里前里長白進德就是火龍果達人，1株火
龍果疏果只留1顆果實精心培育，品質當然最讚。

東山區是全台南市火龍果最大產地，種植面積有150公頃，且持續增加中，東山區公所今
天舉辦東山火龍果產業文化活動，行銷東山火龍果，立委葉宜津、議長賴美惠、董麗華、
農業局農會輔導科長郭德偉等人一起打開「東山寶藏箱」，端出最好吃的東山火龍果。

公所並邀請南榮科大校長王俊惠帶領餐飲系師生，展示火龍果入菜的創意料理和甜點、飲
料，免費招待鄉親和遊客，大排長龍爭相品嘗。

賴美惠說，東山盛產5種顏色的水果，有咖啡、青皮椪柑、洋香瓜、火龍果和龍眼，可發
展「水果之鄉」的產業特色，創造觀光和農業附加價值。

董麗華說，歡迎各地遊客來東山「挖寶」，9月品嘗火龍果，10月喝咖啡，11月吃椪柑。

4年前，陳俊榮、白進德開始結伴學習種植火龍果，各種植5分多地，兩人不求產量，1株
火龍果就只培育1顆火龍果，1顆果實可重達1.2公斤，比一般1台斤火龍果大1倍以上，甜
度可高達23度。

陳俊榮說，1株火龍果植株有12到18條枝條，一般果農都會疏果，1個枝條只留1顆，但他
和白進德是「整株就只留1顆火龍果」，並且套網保護，因此果實大、甜度高，產量也因
此少很多，1分地1年產量大約只有5000台斤，不過，1台斤價錢大約在40到60元間，價格
較高，還是划算！

https://youtu.be/UnNif1M920s

(自由 106-09-16)

"
soulstar01 (氣到彈出來),fruits,[廣宣]  麻豆文旦自產自銷~,Tue Sep 19 23:44:53 2017,"大家好

小弟家裡有種幾棵三十年的老欉文旦

是從爺爺那承襲下來的

目前已採收完畢

價格分別是80元1斤與60元1斤

顆數落在12～14顆 與9～11顆

不論幾箱一律免運費

歡迎有興趣的朋友選購

聯絡電話是0911378792  胡先生

站內信或PTT訊息做詢問也可以

謝謝~

以下是果園的照片

https://i.imgur.com/9c6yZxq.jpg

https://i.imgur.com/KUJfM6L.jpg

https://i.imgur.com/XxSrxku.jpg

"
eminem2k (xd),fruits,[廣宣] 水果社團新開幕，加入就可抽獎！,Thu Sep 21 13:39:34 2017,"社團名稱：果真新鮮 - 水果&小農情報社

截止日期：即日起至2017.09.30 截止

抽獎辦法：社團新成立，只要加入人數滿100即抽出一名幸運夥伴贈送市價599的水果箱。
          社團人數到200人，即抽出2名，以此類推，不限制重複抽獎名額！


加入網址：https://www.facebook.com/groups/119905701983003/

獎項：售價 599的水果箱

備註：(是否需提供身分證字號)  無

"
dedesoup (dede),fruits,[廣宣] 來自北美新鮮蔓越莓,Sun Sep 24 15:52:57 2017,"☆新鮮蔓越莓☆

整包1000g/特價600元

聯絡方式:站內信

商品說明：

●低溫宅配/中部多包外送
●優惠價一包1KG 600元喔
●一樣商品台北微風一包賣800喲！

蔓越莓好處：
♡可預防婦女常見的泌尿道問題
♡降低胃潰瘍和胃癌的發生率
♡減少心血管老化病變
♡抗氧化預防老年癡呆
♡養顏美容維持肌膚年輕健康
https://i.imgur.com/HPsNvX2.jpg

"
Larith (菜包),fruits,[廣宣] 無毒安全農產品推薦給大家,Tue Sep 26 14:58:24 2017,"朋友開的店，推薦給大家
  「普耕園農本小舖」

〓我們銷售無毒安全農產
〓我們親自輔導農民科學全營養種植
〓我們將不定期舉辦食農教育活動
〓我們在農本小舖教室舉辦各類食農講座
〓我們提供line下單小舖自取的服務，讓買高品質蔬菜變的好輕鬆

我們相信消費者的選擇能改變世界
所以提供用心的好農平台，給農民更好的舞台，也讓更多人吃的到真正的安全好農產！〓

Line ID: @wewantyoueatsafe (要打＠喔）
電話：053621813
嘉義縣太保市博學路241號
FB:
https://m.facebook.com/wewantyoueatsafe/
https://i.imgur.com/8iVyx9I.jpg
https://i.imgur.com/bFtBwLR.jpg
https://i.imgur.com/jPzY7t5.jpg
https://i.imgur.com/ZHfqpHe.jpg
https://i.imgur.com/Xx80Mfo.jpg
wewantyoueatsafe/

"
assmm (等放暑假),fruits,[廣宣] 麻豆紅文旦,Tue Sep 26 17:25:54 2017,"
   幫我大姨家賣的  他家紅柚大又甜  一箱20斤1100元
   等於一斤55（大概十顆左右 一定秤足20斤)包運費
   保證好吃  都售北一女 台師大 都有很好的評價 ....
  大概兩三個禮拜就賣光  如果要請回信
   照片: http://imgur.com/qhGZZQ5
http://imgur.com/5vVdDBb
     歡迎訂購  謝謝大家 ....
 ps:今年市場文旦很貴  我大姨家沒漲價喔  保證好吃  產地:麻豆...

"
TrueSpace (天使帝國IV神聖史詩),fruits,[新聞] 香蕉價崩挨批 農糧署：去年底已預警,Thu Sep 28 01:13:25 2017,"    香蕉價崩挨批 農糧署：去年底已預警

    〔記者吳欣恬／台北報導〕

    立法院國民黨黨團今召開記者會，痛批國內香蕉價格大跌，農委會長期不務正業，讓
農民血本無歸。農委會農糧署回應表示，氣候問題是主因，而去年底已針對香蕉種苗供應
過多提出預警，但台灣為自由市場，農民都依個人意願選擇種植作物，一旦供過於求，農
糧署也都及早協助促銷。

    今天台北果菜批發市場香蕉批發價每公斤13.8元，和近幾年相較，2012至2016年同期
香蕉批發價每公斤自23.1元至51.9元不等，而2010年和2011年同期則分別為每公斤13.9元
和14.5元。但今天的交易量卻比2010年至2016年大增，多出了53.8%至162.1%。

    農糧署副署長蘇茂祥指出，2012年至2016年，每年都有颱風襲台，造成災損，連帶影
響香蕉的產量和價格。而2010年和2011年較無災情，價格也和今年同為平穩。

    蘇茂祥強調，農糧署皆有掌握國內種苗育苗數量，每月調查並公布販售數量，供農民
參考。去年9月莫蘭蒂颱風和梅姬颱風接連襲台，對香蕉造成嚴重災情，農民災後同期復
耕，農糧署評估今年6月起即有復耕香蕉同步上市，恐供過於求，因此去年12月起即透過
簡訊等方式向農民預警，呼籲農民減種或分批種植，必要時進行疏花、疏果等。

    目前南部青蕉產地價每公斤約8元，而農委會監控價為7元。但蘇茂祥說，青蕉採收後
需經催熟等過程才上市，價格約會增加7至10元

    蘇茂祥說，農糧署自5月起即研定輔導外銷、擴大行銷及產製加工品等調節措施，截
至昨天已促銷1萬1982公噸。此外，因應雙十連假，本週末起也將在11個國道休息站的道
農市集促銷香蕉。

    蘇茂祥指出，隨著入秋天氣轉涼，香蕉生長速度減緩、品質增，價格應會逐漸回升。

    http://news.ltn.com.tw/news/life/breakingnews/2206571

    (自由時報 2017-09-27)

"
developer (PAR),fruits,[廣宣] 烏來山中 無毒台農66號紅肉地瓜,Sat Sep 30 07:28:37 2017,"
林家農園是一位處在新北市烏來屈尺山谷中新開墾的農園。
我爸爸退休後在屈尺山中買了一塊農地，種些自己食用的當季蔬果，
今年紅肉地瓜盛產，我爸爸捨不得好的食物因為吃不完不採收而在泥土中浪費掉了，
所以想幫把這些已近成熟即將可以採收的地瓜找到出路，所以請我幫他在網路上銷售。

農園四周為純淨無汙染的耕作環境，加上自產自食自銷的理念，
農人堅持不使用農藥和除草劑，除草時，雇用附近的農人一起用手摘除，
希望能種出讓大家安心吃下肚的蔬菜與水果！

產品：台農66號紅肉地瓜
原產地：新北市屈尺山區
保存期限：10-15天
產品單價:35元/台斤
產品規格:
1.5台斤混裝地瓜:超取，總金額為235元(35*5+60)
2.10台斤混裝地瓜:宅配，總金額為460元(35*10+110)
3.20台斤混裝地瓜:宅配:，總金額為810元(35*20+110)
4.21~40台斤混裝地瓜:免運費
5.超過40台斤混裝地瓜:總金額打9折且免運費

原則上採超商取貨或宅配，
若是新店地區的板友，我爸爸說他可以幫你送過去，這樣就不用加運費了。
或是約時間自取也可以。

有意訂購者，煩請幫我填寫一下表單，並站內信或寫e-mail給我確認細節無誤，感謝!
訂購單: https://goo.gl/wJAN6k

"
